#  OPTION =   3

#  Space Stp N =     2048
#  Time Stp :  NPAS =     40000, NRUN =      2000
#  Nonlinearity G =      20.74200000      0.00000002
#  Space Step DX =     0.000000, Time Step DT =     0.000000

#                    ----------------------------------------------------
#                     Norm       Chem        Ener       <x>       Psi(0)
#                    ----------------------------------------------------
# Initial :        Infinity    0.000000    0.000000    0.00000    0.00000
# After NPAS iter.:  1.0105  -82.636497 -104.271445    0.00000    1.99937
 -0.106320E+02  0.9896544E-16  0.248439E+03
 -0.106216E+02  0.8347708E-16  0.244533E+03
 -0.106112E+02  0.6942480E-16  0.239742E+03
 -0.106008E+02  0.5779922E-16  0.234755E+03
 -0.105905E+02  0.4816486E-16  0.230162E+03
 -0.105801E+02  0.4016657E-16  0.226386E+03
 -0.105697E+02  0.3351601E-16  0.223637E+03
 -0.105593E+02  0.2797930E-16  0.221903E+03
 -0.105489E+02  0.2336628E-16  0.220969E+03
 -0.105386E+02  0.1952146E-16  0.220471E+03
 -0.105282E+02  0.1631677E-16  0.219972E+03
 -0.105178E+02  0.1364588E-16  0.219046E+03
 -0.105074E+02  0.1141995E-16  0.217358E+03
 -0.104970E+02  0.9564406E-17  0.214734E+03
 -0.104866E+02  0.8016574E-17  0.211209E+03
 -0.104763E+02  0.6723867E-17  0.207034E+03
 -0.104659E+02  0.5642366E-17  0.202661E+03
 -0.104555E+02  0.4735638E-17  0.198686E+03
 -0.104451E+02  0.3973687E-17  0.195772E+03
 -0.104347E+02  0.3332010E-17  0.194551E+03
 -0.104243E+02  0.2790712E-17  0.195529E+03
 -0.104140E+02  0.2333686E-17  0.198989E+03
 -0.104036E+02  0.1947873E-17  0.204932E+03
 -0.103932E+02  0.1622603E-17  0.213035E+03
 -0.103828E+02  0.1349051E-17  0.222660E+03
 -0.103724E+02  0.1119784E-17  0.232902E+03
 -0.103620E+02  0.9284330E-18  0.242668E+03
 -0.103517E+02  0.7694512E-18  0.250796E+03
 -0.103413E+02  0.6379560E-18  0.256188E+03
 -0.103309E+02  0.5296322E-18  0.257940E+03
 -0.103205E+02  0.4406738E-18  0.255470E+03
 -0.103101E+02  0.3677485E-18  0.248604E+03
 -0.102997E+02  0.3079712E-18  0.237634E+03
